customer_state,unique_customers,total_orders,total_revenue,avg_order_value,avg_review_score
SP,39156,40501,5093379.5,109.03,4.18
RJ,11917,12350,1766256.97,124.17,3.87
MG,11001,11354,1558668.28,119.94,4.12
RS,5168,5345,732420.8,118.48,4.09
PR,4769,4923,668891.26,117.91,4.14
SC,3449,3546,508578.9,123.68,4.05
BA,3158,3256,495416.93,133.79,3.86
DF,2019,2080,298492.74,125.36,4.06
GO,1895,1957,285780.24,124.41,4.04
ES,1928,1995,269230.52,120.41,4.02
PE,1551,1593,252903.1,143.86,4.02
CE,1258,1279,220434.27,154.04,3.87
PA,922,946,174952.64,164.89,3.84
MT,856,886,152479.32,146.61,4.01
MA,700,717,117205.26,145.6,3.77
MS,681,701,116835.04,141.96,4.07
PB,504,517,112676.72,191.95,4.04
PI,464,476,84781,161.8,3.96
RN,464,474,82158.97,157.09,4.11
AL,387,397,79059.68,183.43,3.82
SE,329,335,56574.19,150.86,3.9
TO,267,274,48402.51,156.14,4.16
RO,231,243,45682.76,167.34,4.07
AM,140,145,22211.74,135.44,4.09
AC,76,80,15930.97,175.07,4.13
AP,66,67,13374.81,165.12,4.26
RR,40,41,7057.47,153.42,3.89
